Specimen Code,Specimen Name,Reference,Section,Age,Lat,Long,87Sr/86Sr,87Sr/86Sr_i,87Rb/86Sr,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,206Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb,207Pb/204Pb_i,208Pb/204Pb,208Pb/204Pb_i,176Hf/177Hf,176Hf/177Hf_i,176Lu/177Hf,232Th/238U,Nd,Sm,Lu,235U/204Pb,238U/204Pb,232Th/204Pb,Pb,Th,U,Hf,Rb,Sr
SON0233-084-001,SO233 DR84-1,Homrighausen et al. 2019,Walvis Ridge,109,,,0.70627,0.7056,0.429,0.512351,0.51226,0.135,17.4544,17.36,15.4601,15.46,38.1278,37.98,0.282619,0.28261,0.039,4.9,28.6,6.41,0.355,0.04,5.7,27.7,6.36,2.74,0.578,5.24,58.5,394
SON0233-084-002,SO233 DR84-2,Homrighausen et al. 2019,Walvis Ridge,109,,,0.70624,,,0.512308,0.5122,0.14,17.4079,17.35,15.4574,15.45,38.0939,38.02,0.282593,0.28278,0.014,,,,,,,,,,,,,
SON0234-004-001,SO234 DR4-1,Homrighausen et al. 2019,Walvis Ridge,59.2,,,0.70526,0.70496,0.23,0.512464,0.5124,0.115,18.7222,18.34,15.5827,15.56,39.491,38.87,0.282731,,,5.1,55,10.49,0.41,0.19,26.9,137,5.63,11.55,2.342,8.16,56.3,707
SON0234-006-001,SO234 DR6-1,Homrighausen et al. 2019,Walvis Ridge,50.7,,,0.70442,0.70437,0.217,0.512619,0.51255,0.121,18.7423,18.49,15.5857,15.57,39.2547,38.86,0.28283,0.2828,,4.94,39.3,7.94,0.407,0.13,18.1,89.4,2.6,4.36,0.899,5.05,8,640
AK-1695-6,AK-1695-6,Hoernle et al. 2015,Tristan,27,-36.45,-7.81,,,,0.512654308,0.512634823,0.110335267,18.97617989,18.89850622,15.60928318,15.60566626,39.36514002,39.20394613,0.282834929,0.2828311,0.007345967,6.516140932,68.52709025,12.56161285,0.694380855,0.134219978,18.5062506,120.589337,6.294417304,11.34076123,1.798404944,13.55191485,120.4341672,22.3456728
SO233 DR3-1,SO233 DR3-1,Hoernle et al. 2015,Gough,66,-32.85861111,2.504583333,0.705357795,0.70524917,0.115850129,0.512482997,0.512429637,0.123594496,18.26851729,18.11540367,15.58522646,15.57797932,38.93601893,38.6737476,,,,5.389504445,44.80720175,9.200590837,0.268470981,0.107910004,14.87863131,80.18844957,4.009443809,4.879071158,0.935457513,6.652091112,33.72389672,842.0315673
AII-93-11-8,AII-93-11-8,Hoernle et al. 2015,Gough,47,-32.970194,-0.018337,,,,0.512631478,0.512595103,0.118318221,18.11196229,18.06933234,15.53808459,15.53608285,38.47820257,38.2903113,0.282798662,0.282792927,0.006318715,13.85373494,79.4563011,15.61883862,0.732006939,0.042252242,5.82573909,80.70824519,7.454614903,9.212963622,0.687176394,16.60880364,109.8110816,73.42452826
PS69/420-1-DR 21-1,PS69/420-1-DR 21-1,Hoernle et al. 2015,Gough,47,-32.81,2.55,,,,0.512422508,0.512394999,0.089479274,18.34287487,18.22526952,15.56074274,15.55522044,39.16935584,38.71919288,0.282681755,0.282677338,0.00486778,12.03144453,91.95404351,13.66979651,0.883805695,0.116563347,16.07175429,193.3664203,10.62318144,31.05350415,2.667034235,26.03021505,182.8076544,29.61224042
PS69/420-1-DR 21-1,PS69/420-1-DR 21-1,Hoernle et al. 2015,Gough,47,-32.81,2.55,,,,0.512426128,0.512398619,0.089479274,18.34958821,18.23192342,15.56315486,15.55762977,39.19760011,38.74720968,,,,12.03144453,,,,0.116622248,16.07987561,193.4641315,,,,,,
PS69/423-1-DR 25-4,PS69/423-1-DR 25-4,Hoernle et al. 2015,Gough,46,-34.92,0.55,0.706357452,0.705197154,2.08114262,0.512475918,0.512448332,0.091682327,18.20900779,18.17121853,15.57699903,15.57522533,38.92312335,38.6480853,0.282703949,0.282701884,0.002325435,22.87580969,54.10460686,8.241165534,0.291251423,0.038271644,5.276894266,120.713229,15.07643187,27.64824642,1.248897701,17.9562545,158.5486108,220.394142
PS69/424-1-DR 26-1,PS69/424-1-DR 26-1,Hoernle et al. 2015,Gough,46.5,-34.92,0.55,0.704158251,0.704831591,0.036408158,0.512693848,0.512657319,0.120098792,18.44712718,18.31045146,15.56230487,15.55588844,38.99719088,38.74675925,0.282841195,0.282836038,0.00574442,5.759190286,53.76331177,10.72737387,0.35257201,0.136926675,18.87944996,108.7303448,4.539650717,7.46869523,1.340044003,8.799409501,11.93739089,948.3671619
PS69/424-1-DR 26-1,PS69/424-1-DR 26-1,Hoernle et al. 2015,Gough,46.5,-34.92,0.55,0.704158251,0.705213284,0.036409518,0.512691188,0.512654659,0.120098792,18.43764619,18.30108133,15.55426758,15.54785636,38.95477076,38.70454226,,,,5.759190286,,,,0.13681561,18.86413631,108.6421506,,,,,,
V29-9-1,V29-9-1,Hoernle et al. 2015,Gough,47,-32.6333,1.1166,0.7046644,0.704628507,0.079126483,0.51269425,0.512651954,0.137579326,18.34767166,18.25907957,15.56714801,15.56298806,38.63522964,38.49882205,0.2828224,0.282812444,0.010970416,4.83970266,37.06653826,8.472351603,0.490742857,0.087807151,12.10685002,58.59355423,2.983376864,2.661469605,0.568248869,6.413318198,11.4834881,419.7689947
