Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
Mahoney et al. 1998,Masirah,,Z-114E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,5.261 ,26.02 ,,0.1222 ,0.512814 ,,,4.5 ,,,,,,,1.238 ,3.38 ,0.929 ,182 ,48.5 ,,19.403 ,15.561 ,39.253 ,18.492 ,15.517 ,38.169 ,,,,,,,,
Mahoney et al. 1998,Masirah,,Z131E -U,,,Basalt,WR,MOR,120.00,,Tethys,,Post-Pangea Formation,8.502 ,47.88 ,,0.1073 ,0.512774 ,,,4.0 ,,,,,,,1.457 ,13.3 ,3.10 ,632 ,142 ,,20.404 ,15.610 ,40.409 ,17.728 ,15.480 ,36.645 ,,,,,,,,
"Zhang et al., 2005",Dazhuqu–Dazhuka ,,DZ98-1 G ,,,Gabbro,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.446 ,6.660 ,,0.2220 ,0.513118 ,,,8.90,0.728 ,180.7 ,0.0117 ,0.70356 ,,0.70354 ,0.5924 ,0.0160 ,0.0492 ,5.27 ,1.66 ,,17.44,15.395 ,37.253 ,17.41,15.39,37.22,,,,,,,,
"Zhang et al., 2005",Dazhuqu–Dazhuka ,,DZ98-12 D ,,,Diabase,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.677 ,7.654 ,,0.2114 ,0.513108 ,,,8.90,0.301 ,128.0 ,0.0068 ,0.70451 ,,0.70450 ,0.3986 ,0.0392 ,0.0798 ,12.7 ,6.06 ,,17.56,15.404 ,37.326 ,17.45,15.40,37.25,,,,,,,,
"Zhang et al., 2005",Dazhuqu–Dazhuka ,,DZ98-12 D -L,,,Diabase,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.162 ,5.595 ,,0.2355 ,0.513118 ,,,8.70,0.359 ,169.7 ,0.0061 ,0.70440 ,,0.70439 ,0.3539 ,0.0404 ,0.0759 ,13.6 ,7.03 ,,17.56,15.399 ,37.295 ,17.43,15.39,37.21,,,,,,,,
"Zhang et al., 2005",Dazhuqu–Dazhuka ,,DZ98-19 ,,,Basalt,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.896 ,8.642 ,,0.2026 ,0.513080 ,,,8.50,1.82 ,158.1 ,0.0333 ,0.70433 ,,0.70427 ,0.3676 ,0.0336 ,0.0803 ,13.9 ,5.64 ,,17.58,15.401 ,37.339 ,17.48,15.40,37.26,,,,,,,,
"Zhang et al., 2005",Langceling,,LC98-3 ,,,Basalt,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.706 ,4.639 ,,0.2223 ,0.513109 ,,,8.80,3.35 ,98.84 ,0.0980 ,0.70472 ,,0.70455 ,0.3086 ,0.1204 ,0.0504 ,10.5 ,24.3 ,,18.13,15.465 ,37.550 ,17.67,15.44,37.49,,,,,,,,
"Zhang et al., 2005",Langceling,,LC98-4 ,,,Basalt,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.477 ,3.534 ,,0.2525 ,0.513133 ,,,8.80,10.3 ,130.0 ,0.2291 ,0.70485 ,,0.70446 ,0.5855 ,0.2319 ,0.0558 ,6.14 ,24.7 ,,18.13,15.465 ,37.496 ,17.66,15.44,37.46,,,,,,,,
"Zhang et al., 2005",Langceling,,LC98-6 ,,,Basalt,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.023 ,2.413 ,,0.2561 ,0.513136 ,,,8.80,5.22 ,82.20 ,0.1836 ,0.70483 ,,0.70451 ,0.2784 ,0.0154 ,0.0239 ,5.50 ,3.42 ,,17.77,15.456 ,37.582 ,17.71,15.45,37.55,,,,,,,,
"Zhang et al., 2005",Xialu,,XL98-10 D ,,,Diabase,WR,MOR,120.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.705 ,8.011 ,,0.2041 ,0.513083 ,,,8.50,2.11 ,166.3 ,0.0366 ,0.70345 ,,0.70339 ,0.2350 ,0.0488 ,0.0947 ,25.8 ,12.9 ,,17.72,15.435 ,37.438 ,17.48,15.42,37.28,,,,,,,,
